"id","_name","_prefix","_province_id","_district_id","sync_words","priority_sync_words"
258,Tân Thuận Đông,Phường,1,19,tan thuan dong,phuong tan thuan dong
259,Tân Thuận Tây,Phường,1,19,tan thuan tay,phuong tan thuan tay
260,"1",Phường,1,20,"1",phuong 1
261,"10",Phường,1,20,"10",phuong 10
262,"11",Phường,1,20,"11",phuong 11
263,"12",Phường,1,20,"12",phuong 12
264,"13",Phường,1,20,"13",phuong 13
265,"14",Phường,1,20,"14",phuong 14
266,"15",Phường,1,20,"15",phuong 15
267,"16",Phường,1,20,"16",phuong 16
268,"2",Phường,1,20,"2",phuong 2
269,"3",Phường,1,20,"3",phuong 3
270,"4",Phường,1,20,"4",phuong 4
271,"5",Phường,1,20,"5",phuong 5
272,"6",Phường,1,20,"6",phuong 6
273,"7",Phường,1,20,"7",phuong 7
274,"8",Phường,1,20,"8",phuong 8
275,"9",Phường,1,20,"9",phuong 9
276,Hiệp Phú,Phường,1,21,hiep phu,phuong hiep phu
277,Long Bình,Phường,1,21,long binh,phuong long binh
278,Long Phước,Phường,1,21,long phuoc,phuong long phuoc
279,Long Thạnh Mỹ,Phường,1,21,long thanh my,phuong long thanh my
280,Long Trường,Phường,1,21,long truong,phuong long truong
281,Phú Hữu,Phường,1,21,phu huu,phuong phu huu
282,Phước Bình,Phường,1,21,phuoc binh,phuong phuoc binh
283,Phước Long A,Phường,1,21,phuoc long a,phuong phuoc long a
284,Phước Long B,Phường,1,21,phuoc long b,phuong phuoc long b
285,Tân Phú,Phường,1,21,tan phu,phuong tan phu
286,Tăng Nhơn Phú A,Phường,1,21,tang nhon phu a,phuong tang nhon phu a
287,Tăng Nhơn Phú B,Phường,1,21,tang nhon phu b,phuong tang nhon phu b
288,Trường Thạnh,Phường,1,21,truong thanh,phuong truong thanh
289,"1",Phường,1,22,"1",phuong 1
290,"10",Phường,1,22,"10",phuong 10
291,"11",Phường,1,22,"11",phuong 11
292,"12",Phường,1,22,"12",phuong 12
293,"13",Phường,1,22,"13",phuong 13
294,"14",Phường,1,22,"14",phuong 14
295,"15",Phường,1,22,"15",phuong 15
296,"2",Phường,1,22,"2",phuong 2
297,"3",Phường,1,22,"3",phuong 3
298,"4",Phường,1,22,"4",phuong 4
299,"5",Phường,1,22,"5",phuong 5
300,"6",Phường,1,22,"6",phuong 6
301,"7",Phường,1,22,"7",phuong 7
302,"8",Phường,1,22,"8",phuong 8
303,"9",Phường,1,22,"9",phuong 9
304,Hiệp Tân,Phường,1,23,hiep tan,phuong hiep tan
305,Hòa Thạnh,Phường,1,23,hoa thanh,phuong hoa thanh
306,Phú Thạnh,Phường,1,23,phu thanh,phuong phu thanh
307,Phú Thọ Hòa,Phường,1,23,phu tho hoa,phuong phu tho hoa
308,Phú Trung,Phường,1,23,phu trung,phuong phu trung
309,Sơn Kỳ,Phường,1,23,son ky,phuong son ky
310,Tân Quý,Phường,1,23,tan quy,phuong tan quy
311,Tân Sơn Nhì,Phường,1,23,tan son nhi,phuong tan son nhi
312,Tân Thành,Phường,1,23,tan thanh,phuong tan thanh
313,Tân Thới Hòa,Phường,1,23,tan thoi hoa,phuong tan thoi hoa
314,Tây Thạnh,Phường,1,23,tay thanh,phuong tay thanh
315,Bình Chiểu,Phường,1,24,binh chieu,phuong binh chieu
316,Bình Thọ,Phường,1,24,binh tho,phuong binh tho
317,Hiệp Bình Chánh,Phường,1,24,hiep binh chanh,phuong hiep binh chanh
318,Hiệp Bình Phước,Phường,1,24,hiep binh phuoc,phuong hiep binh phuoc
319,Linh Chiểu,Phường,1,24,linh chieu,phuong linh chieu
320,Linh Đông,Phường,1,24,linh dong,phuong linh dong
321,Linh Tây,Phường,1,24,linh tay,phuong linh tay
322,Linh Trung,Phường,1,24,linh trung,phuong linh trung
323,Linh Xuân,Phường,1,24,linh xuan,phuong linh xuan
324,Tam Bình,Phường,1,24,tam binh,phuong tam binh
325,Tam Phú,Phường,1,24,tam phu,phuong tam phu
326,Trường Thọ,Phường,1,24,truong tho,phuong truong tho
327,Cống Vị,Phường,2,25,cong vi,phuong cong vi
328,Điện Biên,Phường,2,25,dien bien,phuong dien bien
329,Đội Cấn,Phường,2,25,doi can,phuong doi can
330,Giảng Võ,Phường,2,25,giang vo,phuong giang vo
331,Kim Mã,Phường,2,25,kim ma,phuong kim ma
332,Liễu Giai,Phường,2,25,lieu giai,phuong lieu giai
333,Ngọc Hà,Phường,2,25,ngoc ha,phuong ngoc ha
334,Ngọc Khánh,Phường,2,25,ngoc khanh,phuong ngoc khanh
335,Nguyễn Trung Trực,Phường,2,25,nguyen trung truc,phuong nguyen trung truc
