"id","_name","_province_id","_district_id","_lat","_lng","sync_words"
998,Palacio Garden,1,22,10.786957740784,106.64205169678,palacio garden
999,Republic Plaza,1,22,10.801020622253,106.66078948975,republic plaza
1000,Ruby Garden,1,22,10.817695617676,106.63272094727,ruby garden
1001,Sài Gòn Airport,1,22,10.81510925293,106.66687774658,sai gon airport
1002,Scetpa Building,1,22,10.800856590271,106.65029144287,scetpa building
1003,Sky Center,1,22,10.806015968323,106.66645812988,sky center
1004,Tân Bình Apartment,1,22,10.824196815491,106.63576507568,tan binh apartment
1005,Thái Sơn Apartment,1,22,10.803124427795,106.6520690918,thai son apartment
1006,Thành Công Tower 2,1,22,10.819122314453,106.62982940674,thanh cong tower 2
1007,The Botanica,1,22,10.808710098267,106.66935729981,the botanica
1008,The Harmona,1,22,10.79693031311,106.64209747315,the harmona
1009,TPA Building,1,22,10.808499336243,106.66484069824,tpa building
1010,Waseco Building,1,22,10.80532169342,106.66578674316,waseco building
1011,"584 Lilama SHB plaza",1,23,10.776358604431,106.6357498169,"584 lilama shb plaza"
1012,"8X Đầm Sen",1,23,10.769884109497,106.62624359131,"8x dam sen"
1013,An Bình,1,23,10.779189109802,106.63515472412,an binh
1014,An Gia Garden,1,23,10.801912307739,106.62579345703,an gia garden
1015,Âu Cơ Tower,1,23,10.787341117859,106.64099884033,au co tower
1016,Carillon 2,1,23,10.775685310364,106.63444519043,carillon 2
1017,Carillon 5,1,23,10.772256851196,106.63240814209,carillon 5
1018,Carillon 6,1,23,10.770365715027,106.63214111328,carillon 6
1019,Carillon 7,1,23,10.761142730713,106.63013458252,carillon 7
1020,Celadon City,1,23,10.803905487061,106.61668395996,celadon city
1021,Chung cư Khuông Việt,1,23,10.770582199097,106.63861083984,chung cu khuong viet
1022,Đại Thành,1,23,10.775797843933,106.64209747315,dai thanh
1023,Diamond Lotus Lake View,1,23,10.768801689148,106.63234710693,diamond lotus lake view
1024,Fortuna - Vườn Lài,1,23,10.788031578064,106.62883758545,fortuna - vuon lai
1025,Green Lotus Resident,1,23,10.756546974182,106.63570404053,green lotus resident
1026,Heart Land Đầm Sen,1,23,10.765084266663,106.63535308838,heart land dam sen
1027,Hiệp Tân Apartment,1,23,10.76655292511,106.62686157227,hiep tan apartment
1028,IDICO Tân Phú,1,23,10.772834777832,106.63404083252,idico tan phu
1029,Investco Babylon,1,23,10.788970947266,106.6404876709,investco babylon
1030,KCN Tân Bình,1,23,10.813568115234,106.6229019165,kcn tan binh
1031,Khang Gia Tân Hương,1,23,10.789830207825,106.61887359619,khang gia tan huong
1032,Khang Phú,1,23,10.779891967773,106.63793182373,khang phu
1033,Lotus Garden,1,23,10.774463653564,106.6357345581,lotus garden
1034,Melody Residences 16 Âu Cơ,1,23,10.79825592041,106.63691711426,melody residences 16 au co
1035,Phú Thạnh Apartment,1,23,10.780529022217,106.63152313232,phu thanh apartment
1036,Quang Thái,1,23,10.766347885132,106.62797546387,quang thai
1037,RichStar,1,23,10.772315979004,106.62551116943,richstar
